RESPOSTAS CORRETAS,RESPOSTAS ERRADAS
Lei 12305/10 Política Nacional dos Resíduos Sólidos Art 6 São princípios da Política Nacional de Resíduos Sólidos I a prevenção e a precaução Princípio da Prevenção quando já se tem base científica para previsão dos impactos ambientais negativos Princípio da Precaução quando houver possibilidade de danos graves ao meio ambiente a mera ausência de absoluta certeza científica não deve ser utilizada como razão para postergar medidas no intuito de evitar a degradação ambiental,No Direito Ambiental é aplicável somente o princípio da precaução não o da prevenção
Princípio da precaução dúvida incerteza científica Princípio da prevenção dano previsível Se o risco de exposição ao agrotóxico pode ser mensurado o dano pode ser PREVisto,O princípio da função social da propriedade somente se aplica aos imóveis rurais não aos imóveis situados nas cidades
A responsabilidade ambiental é tríplice ou seja uma única conduta pode ser alvo de ação de reparação na esfera cível e sancionamento nas esferas administrativa e criminal,O princípio do poluidor pagador significa que é possível a alguém pagar para poluir
No Direito Ambiental é aplicável o princípio da precaução e o da prevenção,O princípio da função socioambiental da propriedade autoriza o poder público a impor limites ao uso de bens imóveis localizados em área rural no que tange à exploração de seus recursos naturais não se aplicando porém tal preceito à propriedade urbana
A função social da propiedade é aplicável aos imóveis urbanos e rurais,O licenciamento ambiental - instrumento de política nacional do meio ambiente destinado a permitir a construção instalação ampliação e funcionamento de estabelecimentos e atividades utilizadores de recursos ambientais considerados efetiva ou potencialmente poluidores - é incompatível com o princípio da prevenção
RIO 92 PRINCÍPIO 16 Tendo em vista que o poluidor deve em princípio arcar com o custo decorrente da poluição as autoridades nacionais devem procurar promover a INTERNALIZAÇÃO dos custos ambientais e o uso de instrumentos econômicos levando na devida conta o interesse público sem distorcer o comércio e os investimentos internacionais,O Princípio do Poluidor-pagador tem em vista que o poluidor deve em princípio arcar com o custo decorrente da poluição sendo obrigado a recuperar e ou indenizar os danos causados ao meio ambiente caso seja comprovada culpa
O princípio do Poluidor Pagador não pode ser interpretado como um salvo-conduto para se degradar o meio ambiente de forma legítima Pelo contrário tal princípio preconiza que aquele que causar danos à biota deverá internalizar as consequências econômicas de sua conduta,A Constituição Federal de 1988 apesar de tratar de assuntos relacionados ao meio ambiente garantindo em seus artigos o direito ao meio ambiente ecologicamente equilibrado não trata expressamente da Educação Ambiental
O princípio do poluidor pagador impõe ao poluidor a obrigação de recuperar e/ou indenizar os danos causados por sua atividade e ao consumidor a obrigação de contribuir pela utilização dos recursos ambientais,O Princípio da Função Socioambiental deverá ser atendido exclusivamente e impreterivelmente nas propriedades rurais sendo cumprido quando esta propriedade utiliza adequadamente os recursos naturais disponíveis e preserva o meio ambiente
A Constituição Federal considera expressamente a defesa do meio ambiente como princípio que rege a atividade econômica fundada na valorização do trabalho humano e na livre iniciativa,Uma empresa solicitou licença prévia para implementação de sua atividade industrial que utiliza determinados reagentes químicos e que pode causar ameaças de danos graves ou irreversíveis ao meio ambiente A autoridade administrativa entendeu que diante da ausência de certeza científica absoluta não concederia a licença O princípio que fundamentou a negativa de licença é o Prevenção
PRINCÍPIO DA PREVENÇÃO Segundo esse princípio quando já se tem base cienﬁca para previsão dos impactos ambientais negavos decorrentes de determinada atividade lesiva ao meio ambiente devem ser impostas ao empreendedor algumas condições em sua atuação para migar ou impedir os prejuízos Dessa forma na aplicação desse princípio veriﬁca-se UM RISCO CERTO CONHECIDO CONCRETO JÁ SE SABENDO A EXTENSÃO E A NATUREZA DOS DANOS AMBIENTAIS ou seja o risco é certo e o perigo é concreto,Uma empresa solicitou licença prévia para implementação de sua atividade industrial que utiliza determinados reagentes químicos e que pode causar ameaças de danos graves ou irreversíveis ao meio ambiente A autoridade administrativa entendeu que diante da ausência de certeza científica absoluta não concederia a licença O princípio que fundamentou a negativa de licença é o Poluidor-pagador
PRINCÍPIO DA PRECAUÇÃO Segundo esse princípio quando houver possibilidade de danos graves ao meio ambiente a mera ausência de absoluta certeza cienﬁca não deve ser ulizada como razão para postergar medidas no intuito de evitar a degradação ambiental Por esse princípio deve ser dada prioridade às medidas que evitem danos ao meio ambiente,Uma empresa solicitou licença prévia para implementação de sua atividade industrial que utiliza determinados reagentes químicos e que pode causar ameaças de danos graves ou irreversíveis ao meio ambiente A autoridade administrativa entendeu que diante da ausência de certeza científica absoluta não concederia a licença O princípio que fundamentou a negativa de licença é o da Responsabilidade pós-consumo
A prevenção é preceito fundamental uma vez que os danos ambientais na maioria das vezes são irreversíveis e irreparáveis Todos esses comportamentos dependem de uma atitude do ser humano de estar atento ao seu meio ambiente e não agir sem prévia avaliação das consequências,Uma empresa solicitou licença prévia para implementação de sua atividade industrial que utiliza determinados reagentes químicos e que pode causar ameaças de danos graves ou irreversíveis ao meio ambiente A autoridade administrativa entendeu que diante da ausência de certeza científica absoluta não concederia a licença O princípio que fundamentou a negativa de licença é o da Cooperação
O principio da prevenção é utilizado quando se há certeza cientifica que determinada conduta gere ou não algum tipo de dano ambiental,O Princípio 15 da Declaração do Rio sobre Meio Ambiente e Desenvolvimento prevê que quando houver perigo de dano grave ou irreversível a falta de certeza científica absoluta não deverá ser utilizada como razão para se adiar a adoção de medidas eficazes em função dos custos para impedir a degradação do meio ambiente Tal regra traduz em linhas gerais o que no âmbito do Direito Ambiental se denomina princípio da prevenção
O princípio da precaução refere-se à proteção perante atividades de grande impacto ambiental com risco incerto mas provável Não tem previsão constitucional mas tem previsão Lei de Biossegurança,Precaução parte da certeza É aplicado nos casos em que os impactos ambientais já são conhecidos Trabalha com a certeza da ocorrência do dano
Prevenção é o princípio que trata da proteção contra atividades poluentes de riscos certos e conhecidos Tem previsão constitucional,Prevenção situações controversas riscos incertos e potenciais A dúvida sempre deve militar em favor do meio ambiente É aplicado nos casos em que o conhecimento cientifico não pode oferecer respostas conclusivas sobre a inocuidade de determinados procedimentos Previsto expressamente no art 225 da CF e no art 1º da Lei de Biossegurança
